,status,mites,Carnica,Unknown,Buckfast + Carnica,Hybrid,Buckfast,Swarm,Queens,PRE_None,PRE_Thymol,PRE_OA,PRE_Fluvalinate,PRE_MO,PRE_Coumaphos,PRE_Amitraz,WIN_None,WIN_Thymol,WIN_OA,WIN_Heat,WIN_MO,WIN_Coumaphos,WIN_Chlorophenyl,POST_None,POST_Thymol,POST_OA,POST_Fluvalinate,AMFVload,BMLVload,thogload,thikaload,uncload,vdvload,dwvload,Numvir
12_50,WL,11.71953255,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5750.62,275658.42,18001.41,0,0,3.86e+08,2.15e+08,5
12_51,Healthy,0.983949756,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,94700000,2647.55,0,2
12_52,WL,7.090475157,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1502.24,0,0,0,3.75e+08,8927.75,3773.55,4
12_53,Healthy,7.337142857,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5032.48,0,0,0,0,86273.4,0,2
12_54,WL,0.514191691,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9946.02,0,0,0,0,1475.96,0,2
12_55,WL,1.238198421,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11673.48,0,0,0,0,304364.23,0,2
12_56,Healthy,0.43251305,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11057.46,4175.87,0,0,0,482556.78,3290.45,4
12_57,WL,8.887458151,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1735.7,0,0,1707.38,0,2.81e+09,43700000,4
12_58,Healthy,5.389982111,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,158533.31,138001.36,115976.8,3
12_59,WL,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,46126.17,0,0,0,0,4.15e+08,16173.31,3
12_6,WL,0.773722628,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1270000,0,0,44400000,8.85e+09,3
12_60,Healthy,4.188018433,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13692.97,0,0,0,82322.82,7.22e+08,478751.64,4
12_61,Healthy,0.603661554,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6075.17,0,0,0,0,55706.61,364389.08,3
12_62,WL,1.287553648,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4811.38,0,0,0,0,1160000,0,2
12_63,Healthy,6.261343013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2146.45,0,0,0,0,5692.36,0,2
12_64,WL,1.991193738,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29195.64,0,0,35600000,0,2
12_65,WL,4.188018433,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2004.57,21405.71,2673.97,0,0,75700000,4990000,5
12_66,Healthy,4.27019367,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9254.94,0,0,0,0,4317.17,0,2
12_67,Healthy,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1587.84,0,0,2177.96,0,7.15e+09,138285.44,4
12_68,WL,1.210434783,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4520000,486810.06,2
12_69,Healthy,1.305743846,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2572.53,0,0,0,0,38260.82,1424.73,3
