Index,CODA,Werklijst,Ugentnummer,Staalnummer,FAVV,Sample,Colony Nr.,Province,Status,Race,Postcode,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
19,2724,16,5,2012/22511,2460120063,12_19,1,West-Vl,Healthy,Buckfast,8890,3.073207597,50.89006565,Moorslede,0,OA,OA,OA,12
2,401,13,20,2012/22351,2014120079,12_2,2,Oost-Vl,WL,Carnica,1860,4.3287322,50.9341625,Meise,0,None,Thymol,None,12
20,2724,15,6,2012/22514,2460120059,12_20,2,West-Vl,WL,Buckfast,8890,3.073207597,50.89006565,Moorslede,1.220680958,OA,OA,OA,12
21,27,2,6,2012/21295,1081120091,12_21,6,Vl-Br.,Healthy,Carnica,3090,4.5385226,50.7729254,Overijse,6.574172892,None,None,None,12
22,27,2,5,2012/21293,1081120090,12_22,5,Vl-Br.,WL,Carnica,3090,4.5385226,50.7729254,Overijse,3.954455879,None,None,None,12
23,1789,13,4,2012/22320,2550120142,12_23,1,Limburg,Healthy,Carnica,3980,5.0893974,51.0681628,Tessenderlo,0,Thymol,OA,None,12
24,1789,13,5,2012/22321,2550120143,12_24,2,Limburg,WL,Carnica,3980,5.0893974,51.0681628,Tessenderlo,3.388429752,Thymol,OA,None,12
25,2292,12,41,2012/22134,2550120130,12_25,1,Limburg,Healthy,Carnica,3670,5.5540751,51.0933149,Meeuwen-Gruitrode,7.574686797,MO,None,None,12
26,2292,12,42,2012/22135,2550120131,12_26,2,Limburg,WL,Carnica,3670,5.5540751,51.0933149,Meeuwen-Gruitrode,3.151790217,MO,None,None,12
27,1282,2,7,2012/21302,2102120102,12_27,1,Oost-Vl,Healthy,Carnica,9990,3.4154538,51.2263133,Maldegem,0,OA,None,OA,12
28,1282,2,8,2012/21303,2102120103,12_28,2,Oost-Vl,WL,Carnica,9990,3.4154538,51.2263133,Maldegem,4.6484375,OA,None,OA,12
29,2656,13,21,2012/22352,2014120080,12_29,1,Oost-Vl,WL,Carnica,3560,5.147209971,51.0067479,Meldert,0,Thymol,OA,Thymol,12
3,881,4,46,2012/21430,2196120047,12_3,1,Antwerpen,Healthy,Carnica,2540,4.477387,51.1486117,Hove,0,OA,OA,OA,12
30,2656,?,?,2012/430231,2014120082,12_30,3,Oost-Vl,Healthy,Carnica,3560,5.147209971,51.0067479,Meldert,2.802112457,Thymol,OA,Thymol,12
31,1531,12,11,2012/22100,2550120104,12_31,1,Limburg,WL,Carnica,3600,5.5001456,50.9654864,Genk,11.66243194,OA+Thymol,Thymol,OA+Thymol,12
32,1531,12,14,2012/22103,2550120105,12_32,2,Limburg,WL,Carnica,3600,5.5001456,50.9654864,Genk,36.21331545,OA+Thymol,Thymol,OA+Thymol,12
33,1531,12,17,2012/22106,2550120106,12_33,3,Limburg,Healthy,Carnica,3600,5.5001456,50.9654864,Genk,1.160639193,OA+Thymol,Thymol,OA+Thymol,12
34,1531,12,18,2012/22107,2550120107,12_34,4,Limburg,Healthy,Carnica,3600,5.5001456,50.9654864,Genk,0,OA+Thymol,Thymol,OA+Thymol,12
35,1919,11,4,2012/21997,2550120125,12_35,1,Limburg,WL,Carnica,3800,5.203424912,50.82694775,Sint-Truiden,0.293676313,Thymol,OA,None,12
36,1919,11,7,2012/22000,2550120126,12_36,2,Limburg,WL,Carnica,3800,5.203424912,50.82694775,Sint-Truiden,0.246322272,Thymol,OA,None,12
37,1919,11,13,2012/22006,2550120128,12_37,4,Limburg,Healthy,Carnica,3800,5.203424912,50.82694775,Sint-Truiden,18.29300484,Thymol,OA,None,12
38,1919,11,15,2012/22008,2550120129,12_38,5,Limburg,Healthy,Carnica,3800,5.203424912,50.82694775,Sint-Truiden,2.75210084,Thymol,OA,None,12
