,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
68,12_107,dwv,1.13e+08,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
69,12_107,vdv,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
70,12_107,thog,182185.15,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,9.275825346,None,None,None,12
71,12_108,vdv,39600000,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
72,12_108,Unc,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
73,12_108,bmlv,8749.58,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
74,12_108,dwv,5.41e+08,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
75,12_108,thog,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
76,12_108,AMFV,31695.13,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
77,12_108,thika,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,3.476275057,None,None,None,12
78,12_109,bmlv,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
79,12_109,vdv,2.85e+09,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
80,12_109,thog,1170000,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
81,12_109,Unc,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
82,12_109,dwv,3.41e+08,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
83,12_109,AMFV,32455.91,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
84,12_109,thika,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
85,12_11,vdv,14205.31,West-Vl,WL,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
86,12_11,Unc,0,West-Vl,WL,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
87,12_11,bmlv,0,West-Vl,WL,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
88,12_11,dwv,55358.2,West-Vl,WL,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
89,12_11,AMFV,5971.9,West-Vl,WL,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
