,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
12_73,12_73,Cumulative,959000000.0,Antwerpen,WL,Carnica,4.7132557,51.2716725,Zoersel,4.291187739,OA+Coumaphos,Coumaphos,None,12
12_74,12_74,Cumulative,0.0,Antwerpen,Healthy,Carnica,4.7132557,51.2716725,Zoersel,0.603661554,OA+Coumaphos,Coumaphos,None,12
12_75,12_75,Cumulative,0.0,Antwerpen,WL,Carnica,4.7132557,51.2716725,Zoersel,9.416342412,OA+Coumaphos,Coumaphos,None,12
12_76,12_76,Cumulative,0.0,Antwerpen,Healthy,Carnica,4.7132557,51.2716725,Zoersel,0.722499458,OA+Coumaphos,Coumaphos,None,12
12_77,12_77,Cumulative,0.0,West-Vl,WL,Buckfast + Carnica,2.654885824,51.071043,Veurne,9.747003995,OA,OA,OA,12
12_78,12_78,Cumulative,8890000.0,West-Vl,Healthy,Buckfast + Carnica,2.654885824,51.071043,Veurne,0.486555698,OA,OA,OA,12
12_79,12_79,Cumulative,0.0,West-Vl,Healthy,Buckfast + Carnica,2.654885824,51.071043,Veurne,2.874951305,OA,OA,OA,12
12_8,12_8,Cumulative,228662.84,Limburg,WL,Buckfast,5.696445,50.9635024,Maasmechelen,9.631715771,None,None,None,12
12_80,12_80,Cumulative,8538.88,West-Vl,WL,Buckfast + Carnica,2.654885824,51.071043,Veurne,22.16350124,OA,OA,OA,12
12_81,12_81,Cumulative,291200000.0,Oost-Vl,WL,Carnica,3.412339,51.1392692,Knesselare,8.968944099,OA,OA,OA,12
12_82,12_82,Cumulative,0.0,Oost-Vl,WL,Carnica,3.412339,51.1392692,Knesselare,4.087591241,OA,OA,OA,12
12_83,12_83,Cumulative,91795.34,Oost-Vl,Healthy,Carnica,3.412339,51.1392692,Knesselare,0.905172414,OA,OA,OA,12
12_84,12_84,Cumulative,0.0,Oost-Vl,Healthy,Carnica,3.412339,51.1392692,Knesselare,2.635938063,OA,OA,OA,12
12_85,12_85,Cumulative,0.0,Vl-Br.,Healthy,Carnica,4.474407,50.7674846,Hoeilaart,2.750554547,Thymol,OA,Thymol,12
12_86,12_86,Cumulative,0.0,Vl-Br.,WL,Carnica,4.474407,50.7674846,Hoeilaart,7.911239749,Thymol,OA,Thymol,12
12_87,12_87,Cumulative,157239.32,West-Vl,Healthy,Carnica,3.292091113,51.2553021,Damme,7.420612813,Thymol+Coumaphos,None,Thymol,12
12_88,12_88,Cumulative,161651.49000000002,West-Vl,WL,Carnica,3.292091113,51.2553021,Damme,1.492178099,Thymol+Coumaphos,None,Thymol,12
12_89,12_89,Cumulative,0.0,Antwerpen,WL,Carnica,4.8242404,51.238218,Lille,0.293676313,OA+Thymol,OA,OA,12
12_9,12_9,Cumulative,46802.42,Oost-Vl,WL,Unknown,4.3091107,51.1712275,Kruibeke,0,Thymol,None,Thymol,12
12_90,12_90,Cumulative,127167.95000000001,Antwerpen,Healthy,Carnica,4.8242404,51.238218,Lille,1.089808274,OA+Thymol,OA,OA,12
12_91,12_91,Cumulative,15050000.0,Limburg,WL,Carnica,5.2750485,51.0233485,Heusden-Zolder,7.420612813,OA+Thymol,None,None,12
12_92,12_92,Cumulative,0.0,Limburg,WL,Carnica,5.2750485,51.0233485,Heusden-Zolder,0,OA+Thymol,None,None,12
12_93,12_93,Cumulative,0.0,Limburg,WL,Carnica,5.2750485,51.0233485,Heusden-Zolder,1.492178099,OA+Thymol,None,None,12
12_94,12_94,Cumulative,2170000000.0,Vl.Br.,Healthy,Carnica,4.0614624,50.7720719,Oetlingen,0.350346021,Thymol,OA,Thymol,12
12_95,12_95,Cumulative,25921.49,Vl.Br.,Healthy,Carnica,4.0614624,50.7720719,Oetlingen,9.585348998,Thymol,OA,Thymol,12
12_96,12_96,Cumulative,0.0,Vl.Br.,Healthy,Carnica,4.0614624,50.7720719,Oetlingen,10.86790045,Thymol,OA,Thymol,12
12_97,12_97,Cumulative,0.0,Oost. Vl.,WL,Buckfast + Carnica,3.719334,50.8793307,Zwalm,0.983949756,None,None,None,12
12_98,12_98,Cumulative,0.0,Oost. Vl.,WL,Buckfast + Carnica,3.719334,50.8793307,Zwalm,7.090475157,None,None,None,12
12_99,12_99,Cumulative,0.0,Oost. Vl.,WL,Buckfast + Carnica,3.719334,50.8793307,Zwalm,2.476340694,None,None,None,12
13_1,13_1,Cumulative,0.0,Limburg,Healthy,Carnica,5.449157219,51.10874,Peer,0.284697509,OA+Thymol,OA,OA,13
13_10,13_10,Cumulative,0.0,West.Vl.,Healthy,Unknown,3.463734552,50.844003,Anzegem,0,Thymol,OA,None,13
13_100,13_100,Cumulative,0.0,Oost. Vl.,Healthy,Carnica,3.8504738,51.029657,Laarne,0,OA+Thymol,Coumaphos,OA,13
13_101,13_101,Cumulative,17894.1,Oost. Vl.,Healthy,Carnica,3.8504738,51.029657,Laarne,0,OA+Thymol,Coumaphos,OA,13
13_102,13_102,Cumulative,16081.45,Oost. Vl.,WL,Carnica,3.8504738,51.029657,Laarne,0,OA+Thymol,Coumaphos,OA,13
13_103,13_103,Cumulative,55860000.0,Oost. Vl.,WL,Carnica,3.8504738,51.029657,Laarne,6.110260337,OA+Thymol,Coumaphos,OA,13
13_104,13_104,Cumulative,73520.23,Oost. Vl.,Healthy,Carnica,3.8504738,51.029657,Laarne,0.490162237,OA+Thymol,Coumaphos,OA,13
13_105,13_105,Cumulative,0.0,Vl.Br.,WL,Carnica,4.975432566,50.9689147,Scherpenheuvel-Zichem,2.219863533,OA,Thymol,None,13
13_106,13_106,Cumulative,0.0,Vl.Br.,Healthy,Carnica,4.975432566,50.9689147,Scherpenheuvel-Zichem,0.318532819,OA,Thymol,None,13
13_107,13_107,Cumulative,0.0,Vl.Br.,WL,Carnica,4.975432566,50.9689147,Scherpenheuvel-Zichem,2.151793161,OA,Thymol,None,13
13_108,13_108,Cumulative,103318.18000000001,Vl.Br.,Healthy,Carnica,4.975432566,50.9689147,Scherpenheuvel-Zichem,1.900326036,OA,Thymol,None,13
13_109,13_109,Cumulative,0.0,Oost. Vl.,Healthy,Carnica,4.0242373,50.8353611,Ninove,0,Thymol,OA,Thymol,13
13_11,13_11,Cumulative,0.0,West.Vl.,Healthy,Carnica,3.37894958,51.062755,Ruiselede,4.805393809,None,None,None,13
13_110,13_110,Cumulative,132963.95,Oost. Vl.,WL,Carnica,4.0242373,50.8353611,Ninove,0.3,Thymol,OA,Thymol,13
13_111,13_111,Cumulative,0.0,Antwerpen,Healthy,Carnica,5.193773076,51.171804,Balen,0.549189189,OA+Thymol,None,OA,13
13_112,13_112,Cumulative,0.0,Antwerpen,WL,Carnica,5.193773076,51.171804,Balen,2.261355356,OA+Thymol,None,OA,13
13_113,13_113,Cumulative,3591000000.0,West-Vl.,WL,Swarm,2.722259264,50.84362245,Poperinge,16.4870148,None,None,None,13
13_114,13_114,Cumulative,173600000.0,West-Vl.,WL,Swarm,2.722259264,50.84362245,Poperinge,6.605465414,None,None,None,13
13_115,13_115,Cumulative,20807.920000000002,West-Vl.,WL,Swarm,2.722259264,50.84362245,Poperinge,4.491032477,None,None,None,13
13_116,13_116,Cumulative,15930.599999999999,West-Vl.,Healthy,Carnica,2.891477451,50.851808,Ieper,0.307692308,OA,OA,None,13
13_117,13_117,Cumulative,0.0,West-Vl.,Healthy,Carnica,2.891477451,50.851808,Ieper,0,OA,OA,None,13
13_118,13_118,Cumulative,0.0,West-Vl.,Healthy,Carnica,2.891477451,50.851808,Ieper,1.55993118,OA,OA,None,13
13_119,13_119,Cumulative,0.0,Antwerpen,WL,Buckfast,4.670951732,51.1611887,Nijlen,0.85860575,OA,None,None,13
13_12,13_12,Cumulative,0.0,West.Vl.,WL,Carnica,3.37894958,51.062755,Ruiselede,2.331439103,None,None,None,13
13_120,13_120,Cumulative,200044.11000000002,Antwerpen,WL,Buckfast,4.670951732,51.1611887,Nijlen,1.753744976,OA,None,None,13
13_121,13_121,Cumulative,80621.23999999999,Antwerpen,WL,Buckfast,4.670951732,51.1611887,Nijlen,7.878787879,OA,None,None,13
13_122,13_122,Cumulative,91486.92,Antwerpen,Healthy,Carnica,5.0893974,51.0681628,Tessenderlo,0,OA,OA,None,13
13_123,13_123,Cumulative,45615.08,Antwerpen,Healthy,Carnica,5.0893974,51.0681628,Tessenderlo,0.314063369,OA,OA,None,13
13_124,13_124,Cumulative,0.0,Antwerpen,Healthy,Carnica,5.0893974,51.0681628,Tessenderlo,0.331910858,OA,OA,None,13
13_125,13_125,Cumulative,0.0,Antwerpen,WL,Carnica,4.242326005,51.0924649,Bornem,0.523047977,OA,None,None,13
13_126,13_126,Cumulative,44838.29,Antwerpen,WL,Carnica,4.242326005,51.0924649,Bornem,1.601750547,OA,None,None,13
13_127,13_127,Cumulative,86009.62999999999,Antwerpen,WL,Carnica,4.242326005,51.0924649,Bornem,0.490322581,OA,None,None,13
13_128,13_128,Cumulative,610078.6299999999,Antwerpen,Healthy,Carnica,4.597238179,51.3347679,Brecht,11.2,OA,None,OA,13
13_129,13_129,Cumulative,0.0,Antwerpen,Healthy,Carnica,4.597238179,51.3347679,Brecht,4.246221895,OA,None,OA,13
13_13,13_13,Cumulative,0.0,Vl.Br.,WL,Carnica,4.629029113,50.81115135,Neerijse,1.479214486,OA,OA,OA,13
13_130,13_130,Cumulative,0.0,Antwerpen,Healthy,Carnica,4.597238179,51.3347679,Brecht,0.661111111,OA,None,OA,13
13_131,13_131,Cumulative,0.0,West-Vl.,WL,Unknown,3.261718974,50.92196635,Ingelmunster,5.428466348,None,None,None,13
13_132,13_132,Cumulative,0.0,West-Vl.,WL,Unknown,3.261718974,50.92196635,Ingelmunster,4.605678233,None,None,None,13
13_133,13_133,Cumulative,31900.540000000005,West-Vl.,Healthy,Carnica,2.891477451,50.851808,Ieper,0,OA,OA,None,13
13_134,13_134,Cumulative,38624.53,West-Vl.,Healthy,Carnica,2.891477451,50.851808,Ieper,0,OA,OA,None,13
13_135,13_135,Cumulative,0.0,Vl.Br.,WL,Carnica,5.0283876,50.843352,Neerlinter,5.097345133,None,OA,None,13
