	apis mellifera filamentous virus	apis orthomyxovirus 1 - PB1	apis orthomyxovirus 1 - GP	apis orthomyxovirus 1 - PB2	apis orthomyxovirus 1 - M	apis orthomyxovirus 1 - PA	apis orthomyxovirus 1 - NP	apthili virus	apparli virus	bee-macula like virus	deformed wing virus/varroa-destructor virus 1
BeeP-22-2013	0.0	0.38122455741810773	0.26121289453815744	0.19486074508741463	0.2820446724299098	0.2215633404287347	0.8772163964712951	0.0	4.5090105876566495	0.0601648281015639	4.05573699897395
BeeP-23-2013	0.0	0.559645507394521	1.292018144908839	1.273091362159308	0.8812058464054059	0.866354373035254	1.2908402241434247	0.0	1.9406253264577162	0.75116715974663	3.867419113379637
BeeP-24-2013	0.0	0.0	0.06342335350262188	0.15588346263971337	0.22976710341132886	0.0	0.23554790045423804	0.007772402608131413	0.225300661397829	0.0836658661066244	3.841335010186731
BeeP-25-2013	1.5011075994114147	0.8331266026204838	1.111653314507604	1.2401249901345162	0.0	0.8703390248415355	1.1338388399643424	1.2744643626462209	0.9822491200537978	1.5422672135525224	2.1384863424358453
BeeP-26-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047446102449977455	0.03025081222277931	3.5428780561186244
BeeP-27-2013	0.0	3.006431366454369	3.7277324270486782	3.619117692608343	3.7571803577087604	2.984362511563522	3.8241140679156964	0.0	1.3877707449446173	0.007064199203136467	3.879938328882584
BeeP-28-2013	0.6558331327608884	0.0	1.5772706720642733	0.0	0.0	0.719337969095448	0.0	0.0	0.5843604420151518	0.0	1.7591517277444266
BeeP-29-2013	0.0	0.0	0.12326052555928851	0.0	0.5715940560044657	0.0	0.0	0.0	2.70694010033917	0.0	3.798902611019017
BeeP-30-2013	0.0	1.2821101371870394	1.5331251556650378	0.0	1.922433881748794	0.0	0.0	1.3216858122890904	0.9979959149154074	0.0	2.05770520818391
BeeP-31-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011348127890184629	4.034456314678478
BeeP-32-2013	0.0	0.0	0.03522784947378888	0.0	0.0	0.0	0.0	0.039259664326195105	0.40703710856550496	0.4866320885165064	3.977869528028087
BeeP-33-2013	0.5098556172445254	0.0	0.4256312396412996	0.0	0.8153558591022133	0.0	0.0	0.553971852230458	3.399765378074897	1.9015648031089423	3.956956079178202
BeeP-34-2013	0.0	0.02293725994309753	0.2025018615496031	0.0	0.09586150689924086	0.0	0.0	0.12677318191657577	0.7070752892599239	0.1880257396051229	3.954079937001645
BeeP-35-2013	0.16229041811405406	0.24040848574742757	0.303716825108044	0.0	0.32684172811770285	0.1045980277372954	0.2338284613517912	0.12994819557542736	0.07277155671845786	1.3082094252877343	3.8980782424382485
BeeP-36-2013	0.0	0.0	0.045068289004544904	0.0	0.0	0.0	0.0	0.0	0.0	0.2988338003286535	3.9183195732770875
BeeP-37-2013	0.3830583185822837	0.0	0.2312183286801323	0.0	0.33629130321893796	0.0	0.0	0.4497174360342256	1.650323018081786	2.9659403937481676	3.2831543512444186
BeeP-38-2013	0.058897495015836764	0.0	0.0	0.0	0.0	0.0	0.0	0.07079064495274788	0.09128321020689667	0.012514118392884906	3.886229118487904
BeeP-39-2013	0.0	0.0	0.04933772134317638	0.0	0.0	0.0	0.0	0.07805241406643469	0.0	0.5238513340393751	3.858506499999073
BeeP-40-2013	0.0	3.164500792013212	3.439727292201774	3.4671825453663763	3.199415319929333	2.5843074038267457	3.1003574250103245	0.0	1.0563833571676686	1.4551396658362457	3.7895095830746253
BeeP-41-2013	0.0	0.17358234529779504	0.5547934424607999	0.2998986712432542	0.289299985622016	0.15155472481974364	0.3841627941101732	0.0	0.12570329348030293	0.3260825144224898	3.835555114514372
BeeP-42-2013	0.0	4.342042483562481	5.132248518886631	5.021605510457687	5.041585679940798	4.739241282950115	3.8373253961799794	0.6014425347668324	0.8040794476823673	1.428697825855219	1.4755481922511342
BeeP-43-2013	0.06314929996562313	0.5070037117622065	1.1332171987827884	1.0007347923842291	0.857562428299938	0.5641114053511811	0.6402167042195578	0.11435045263990198	0.13927505763193596	2.3114543529887293	4.226447133177476
BeeP-44-2013	0.0	2.6387549815259823	4.095501878177891	3.6881288530667478	3.54028350908619	3.4680909428062323	4.177599541173255	0.5362602358755665	2.0248526351640734	0.24254150063432062	3.2222941614232354
BeeP-45-2013	0.018435117636171693	2.525350048051788	3.7880445373285987	2.913108399458215	3.1214662038628833	2.4305153970760727	2.7347880544697065	0.0	0.0	0.0	4.139978163696654
BeeP-46-2013	0.0	0.0	0.0	0.0	0.03809975179011962	0.0	0.0	0.0	0.0	0.006422773967388759	4.066238576239824
BeeP-47-2013	0.0	1.245861083397946	1.4688550923560502	1.2241819097674698	1.1814568934924696	0.6931547306149782	1.5210854854518452	0.8815306619438064	0.27376413711396663	5.0573360147000574	3.0183543620698297
BeeP-48-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.024660221150738723	0.0	0.0	0.05191915517927341	4.263340363862203
BeeP-49-2013	0.5946484135947693	0.0	0.3902380072645227	0.0	0.5342182078872569	0.0	0.0	2.344954650850892	0.786463854203905	0.04074784419576287	2.689074646933231
BeeP-50-2013	0.44022758283722163	0.0	1.389843527856159	0.0	1.356935055378122	0.0	0.0	0.0	0.9769176514643465	0.23217060135756015	1.5677565203997974
BeeP-Q1-2013	0.0	0.0	1.3394105951214317	0.0	1.3822750711085756	0.5802297969084358	0.0	0.0	0.677282613103837	1.5049563579916794	3.542355840400884
