sample	colony_id	lat	lon	commune	status_year
13_113	789	2.722259264	50.84362245	poperinge	wl_13
13_114	789	2.722259264	50.84362245	poperinge	wl_13
13_115	789	2.722259264	50.84362245	poperinge	wl_13
13_116	328	2.891477451	50.851808	ieper	healthy_13
13_117	328	2.891477451	50.851808	ieper	healthy_13
13_118	328	2.891477451	50.851808	ieper	healthy_13
13_119	2772	4.670951732	51.1611887	nijlen	wl_13
13_12	1270	3.37894958	51.062755	ruiselede	wl_13
13_120	2772	4.670951732	51.1611887	nijlen	wl_13
13_121	2772	4.670951732	51.1611887	nijlen	wl_13
13_122	242	5.0893974	51.0681628	tessenderlo	healthy_13
13_123	242	5.0893974	51.0681628	tessenderlo	healthy_13
13_124	242	5.0893974	51.0681628	tessenderlo	healthy_13
13_125	2941	4.242326005	51.0924649	bornem	wl_13
13_126	2941	4.242326005	51.0924649	bornem	wl_13
13_127	2941	4.242326005	51.0924649	bornem	wl_13
13_128	2766	4.597238179	51.3347679	brecht	healthy_13
13_129	2766	4.597238179	51.3347679	brecht	healthy_13
13_13	2271	4.629029113	50.81115135	neerijse	wl_13
13_130	2766	4.597238179	51.3347679	brecht	healthy_13
13_131	625	3.261718974	50.92196635	ingelmunster	wl_13
13_132	625	3.261718974	50.92196635	ingelmunster	wl_13
13_133	328	2.891477451	50.851808	ieper	healthy_13
13_134	328	2.891477451	50.851808	ieper	healthy_13
13_135	1993	5.0283876	50.843352	neerlinter	wl_13
13_136	1993	5.0283876	50.843352	neerlinter	wl_13
13_137	270	4.693130751	50.85172925	heverlee	healthy_13
13_138	270	4.693130751	50.85172925	heverlee	healthy_13
13_139	806	4.975432566	50.9689147	scherpenheuvel-zichem	wl_13
13_14	2271	4.629029113	50.81115135	neerijse	healthy_13
13_140	806	4.975432566	50.9689147	scherpenheuvel-zichem	wl_13
13_141	1520	4.901808003	51.0554081	herselt	wl_13
13_142	608	2.722259264	50.84362245	poperinge	wl_13
13_143	538	5.068392496	50.90566935	kortenaken	wl_13
13_144	179	4.886378182	50.9242724	tielt-winge	healthy_13
13_145	179	4.886378182	50.9242724	tielt-winge	healthy_13
13_146	2315	4.4980446	51.2516344	schoten	healthy_13
13_147	2263	3.124765	50.9444948	roeselare	healthy_13
