	dwv	aov	apthili	bmlv	aparli	amfv	vdv
12_1	28152.32	3.73	2873.11	64.19	0.0	3520.35	7366.8
12_3	8904.63	27.49	121.79	0.0	0.0	36049.36	10550.29
12_4	2090000.0	33.85	127.18	25.69	98585.15	2959.46	265281.58
12_5	383937.05	5.99	4.89	0.0	0.0	924.36	140083.07
12_6	8850000000.0	1270000.0	30.35	38.56	0.0	0.0	44400000.0
12_7	27347.21	5.9	1.07	3.62	0.0	1700.82	8178.13
12_8	11632.68	13.06	8.43	0.0	0.0	15285.5	32666.12
12_9	122000000.0	7.42	0.104	0.0	0.0	6686.06	1880000000.0
12_10	1110000000.0	53.36	4.54	15.69	0.0	7715.89	2050000.0
12_11	55358.2	0.0	40.8	0.0	0.0	5971.9	14205.31
12_12	3878.34	7.65	2.73	0.0	0.0	0.0	5643.91
12_13	38111.68	10.87	470.51	0.0	0.0	0.0	1130000.0
12_14	856684.5	18.93	10.94	119.56	0.0	1639.85	13600000.0
12_15	7552.61	8.64	166.46	0.0	0.0	538.22	2317.94
12_16	54400000.0	25.96	296.24	0.0	72096.56	0.0	2769.67
12_17	8033.9	8.31	7871.83	38.95	0.0	16122.5	8686.07
12_18	17867.57	40.26	10501.04	21.11	0.0	1940.38	1205.14
12_19	2708.65	26.65	663.54	0.0	224000000.0	1104.67	1805.39
12_20	1440000000.0	63.76	0.0433	26220.13	0.0	5242.31	377000000.0
12_21	83000000.0	5.56	1332.34	0.0	0.0	314.46	701.46
12_22	10222.24	10.96	3834.39	0.0	0.0	4861.24	10055.36
12_23	58737.39	0.0	2.37	32.31	0.0	38161.32	20225.12
12_24	10733.12	7.94	0.71	36.51	0.0	12996.62	3245.55
12_25	125060.5	4.36	1.15	9972.46	0.0	9842.97	348976.98
12_26	1660000000.0	21.24	1.77	7021.62	0.0	7867.95	1080000000.0
12_27	1018.75	24.71	45.9	0.0	0.0	671.21	359.87
12_28	3393.08	4.14	14.02	0.0	10400000.0	0.0	623.33
12_29	26543.82	7.28	6.43	0.0	0.0	0.0	15293.67
12_30	9025.77	18.69	95.78	8.23	0.0	1254.34	692477.66
12_31	16403.44	137.78	5698.97	2786.91	0.0	1255.45	102018.9
12_32	545726.92	18.58	2958.8	187.58	0.0	2273.03	4790000.0
12_33	22246.37	9.74	14796.73	28.86	34009.99	2500.73	289968.33
12_34	0.0	23.5	1038.1	42.04	0.0	0.0	0.0
12_35	1773.21	8.91	399.31	183.46	103578.21	76906.1	157391.6
12_36	696.47	22.47	0.037	0.0	328670.09	271463.09	24742.13
12_37	11473.18	24.42	0.0	67.49	252761.5	11953.59	17186.42
12_38	815226.5	7.33	162.18	3093.18	0.0	27193.7	114000000.0
12_39	29400000.0	12.35	0.0112	2646.32	0.0	97644.78	6830000.0
12_40	12375.04	20.31	31.76	75.31	0.0	11682.38	1885.13
12_41	1270000000.0	515.25	209.14	424189.28	0.0	13121.6	584000000.0
12_42	59737.81	0.0	37.88	77.2	0.0	7459.86	83244.45
