Document Name: vdv3_55.sds 
Plate Type: Absolute Quantification
User: u0103892

Document Information

Operator: sa_abi7500
Run Date: Sunday, February 17, 2019 15:03:52
Last Modified: Friday, February 22, 2019 15:01:40
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.3.1

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,5:00,Auto,,
,,95.0 °C,0:20,Auto,,
2,45,95.0 °C,0:03,Auto,,
,,55.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 2 Step 1
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
F10,12_113,Rota,Unknown,27.76,0.280,28318.86,25282.81,4293.619,,
F11,12_114,Rota,Unknown,30.39,0.158,5681.27,6096.93,587.831,,
F12,12_114,Rota,Unknown,30.17,0.158,6512.59,6096.93,587.831,,
G1,12_115,Rota,Unknown,31.90,0.041,2273.22,2313.91,57.542,,
G2,12_115,Rota,Unknown,31.84,0.041,2354.60,2313.91,57.542,,
G3,12_116,Rota,Unknown,32.69,0.154,1403.09,1315.70,123.581,,
G4,12_116,Rota,Unknown,32.91,0.154,1228.31,1315.70,123.581,,
G5,12_117,Rota,Unknown,11.10,0.158,7.31e+008,6.84e+008,6.59e+007,,
G6,12_117,Rota,Unknown,11.32,0.158,6.37e+008,6.84e+008,6.59e+007,,
G7,12_118,Rota,Unknown,24.08,0.143,266057.38,250663.15,21770.724,,
G8,12_118,Rota,Unknown,24.29,0.143,235268.92,250663.15,21770.724,,
G9,12_119,Rota,Unknown,29.59,0.180,9288.24,8621.75,942.556,,
G10,12_119,Rota,Unknown,29.84,0.180,7955.27,8621.75,942.556,,
G11,12_120,Rota,Unknown,25.28,0.703,128033.73,98922.55,41169.425,,
G12,12_120,Rota,Unknown,26.28,0.703,69811.38,98922.55,41169.425,,
H1,12_121,Rota,Unknown,21.74,0.020,1.11e+006,1.10e+006,13694.891,,
H2,12_121,Rota,Unknown,21.77,0.020,1.09e+006,1.10e+006,13694.891,,
H3,12_122,Rota,Unknown,12.11,0.201,3.94e+008,3.62e+008,4.43e+007,,
H4,12_122,Rota,Unknown,12.40,0.201,3.31e+008,3.62e+008,4.43e+007,,
H5,12_123,Rota,Unknown,16.06,0.363,3.54e+007,3.06e+007,6.73e+006,,
H6,12_123,Rota,Unknown,16.58,0.363,2.59e+007,3.06e+007,6.73e+006,,
H7,12_124,Rota,Unknown,24.76,0.381,176152.22,210404.11,48439.488,,
H8,12_124,Rota,Unknown,24.22,0.381,244656.00,210404.11,48439.488,,
H9,12_125,Rota,Unknown,26.23,0.464,72114.16,60230.08,16806.622,,
H10,12_125,Rota,Unknown,26.88,0.464,48346.00,60230.08,16806.622,,
H11,12_126,Rota,Unknown,15.19,0.275,6.02e+007,5.39e+007,9.00e+006,,
H12,12_126,Rota,Unknown,15.58,0.275,4.75e+007,5.39e+007,9.00e+006,,
